date,close_nok,volume_shares
2024-08-19,7.90,230001
2024-08-20,7.84,155874
2024-08-21,7.80,250188
2024-08-22,8.04,403252
2024-08-23,8.10,360545
2024-08-26,8.18,122047
2024-08-27,8.24,138105
2024-08-28,8.22,199997
2024-08-29,8.22,101014
2024-08-30,8.32,116667
2024-09-02,8.46,95949
2024-09-03,8.38,126082
2024-09-04,8.42,130285
2024-09-05,8.44,129773
2024-09-06,8.46,115650
2024-09-09,8.40,135109
2024-09-10,8.38,123743
2024-09-11,8.32,233317
2024-09-12,8.34,170519
2024-09-13,8.32,149630
2024-09-16,8.28,86896
2024-09-17,8.24,70283
2024-09-18,8.26,64280
2024-09-19,8.26,137951
2024-09-20,8.30,98403
2024-09-23,8.24,64909
2024-09-24,8.20,41599
2024-09-25,8.10,53041
2024-09-26,8.04,34256
2024-09-27,7.92,75741
2024-09-30,7.94,75323
2024-10-01,7.94,59995
2024-10-02,7.92,55417
2024-10-03,7.94,80129
2024-10-04,7.92,124650
2024-10-07,7.98,78262
2024-10-08,8.00,108860
2024-10-09,8.00,112100
2024-10-10,7.98,92150
2024-10-11,8.00,97100
2024-10-14,7.90,100110
2024-10-15,7.90,69406
2024-10-16,7.88,89900
2024-10-17,7.90,68876
2024-10-18,7.90,94600
2024-10-21,7.94,52600
2024-10-22,7.92,85100
2024-10-23,7.94,66200
2024-10-24,7.92,38000
2024-10-25,7.90,58100
2024-10-28,7.96,62100
2024-10-29,7.94,41500
2024-10-30,7.92,65000
2024-10-31,7.90,59100
2024-11-01,7.94,50700
2024-11-04,7.86,45000
2024-11-05,7.86,47000
2024-11-06,7.86,45000
2024-11-07,7.82,52300
2024-11-08,7.84,45400
2024-11-11,7.82,39200
2024-11-12,7.82,48600
2024-11-13,7.84,51000
2024-11-14,7.88,44500
2024-11-15,7.86,47900
2024-11-18,7.84,63700
2024-11-19,7.84,51000
2024-11-20,7.84,72300
2024-11-21,7.86,57000
2024-11-22,7.86,62700
2024-11-25,7.84,66800
2024-11-26,7.84,72600
2024-11-27,7.86,62300
2024-11-28,7.86,80100
2024-11-29,7.86,67900
2024-12-02,7.78,102500
2024-12-03,7.78,97000
2024-12-04,7.76,116000
2024-12-05,7.78,105000
2024-12-06,7.78,112000
2024-12-09,7.78,190000
2024-12-10,7.78,155000
2024-12-11,7.76,132000
2024-12-12,7.76,149000
2024-12-13,7.76,168000
2024-12-16,7.68,225000
2024-12-17,7.64,170000
2024-12-18,7.62,205000
2024-12-19,7.64,255000
2024-12-20,7.64,290000
2024-12-23,7.58,185000
2024-12-27,7.48,284000
2024-12-30,7.58,197000
2025-01-02,7.68,245000
2025-01-03,7.72,332000
2025-01-06,7.76,366000
2025-01-07,7.78,420000
2025-01-08,7.78,302000
2025-01-09,7.82,354000
2025-01-10,7.82,388000
2025-01-13,7.80,301000
2025-01-14,7.76,305000
2025-01-15,7.78,332000
2025-01-16,7.74,287000
2025-01-17,7.72,266000
2025-01-20,7.72,234000
2025-01-21,7.78,273000
2025-01-22,7.80,235000
2025-01-23,7.80,241000
2025-01-24,7.82,284000
2025-01-27,7.84,265000
2025-01-28,7.84,199000
2025-01-29,7.84,235000
2025-01-30,7.88,246000
2025-01-31,7.90,311000
2025-02-03,7.90,245000
2025-02-04,7.90,208000
2025-02-05,7.90,245000
2025-02-06,7.94,276000
2025-02-07,7.94,332000
2025-02-10,7.96,321000
2025-02-11,8.00,355000
2025-02-12,7.98,273000
2025-02-13,8.00,328000
2025-02-14,8.02,358000
2025-02-17,8.02,345000
2025-02-18,8.04,369000
2025-02-19,8.08,299000
2025-02-20,8.08,219000
2025-02-21,8.08,203000
2025-02-24,8.10,246000
2025-02-25,8.10,211000
2025-02-26,8.10,185000
2025-02-27,8.10,183000
2025-02-28,8.12,222000
2025-03-03,8.14,264000
2025-03-04,8.18,348000
2025-03-05,8.22,356000
2025-03-06,8.26,355000
2025-03-07,8.28,322000
2025-03-10,8.34,301000
2025-03-11,8.42,340000
2025-03-12,8.44,346000
2025-03-13,8.42,352000
2025-03-14,8.44,297000
2025-03-17,8.44,311000
2025-03-18,8.46,317000
2025-03-19,8.50,336000
2025-03-20,8.58,339000
2025-03-21,8.60,316000
2025-03-24,8.62,285000
2025-03-25,8.66,281000
2025-03-26,8.70,310000
2025-03-27,8.74,317000
2025-03-28,8.76,322000
2025-03-31,8.80,273000
2025-04-01,8.84,290000
2025-04-02,8.88,285000
2025-04-03,8.86,278000
2025-04-04,8.84,287000
2025-04-07,8.48,891000
2025-04-08,8.52,512000
2025-04-09,8.54,480000
2025-04-10,8.58,471000
2025-04-11,8.60,461000
2025-04-14,8.76,408000
2025-04-15,8.90,420000
2025-04-16,9.02,421000
2025-04-22,9.06,509000
2025-04-23,9.08,484000
2025-04-24,9.04,480000
2025-04-25,9.04,461000
2025-04-28,9.24,438000
2025-04-29,9.32,426000
2025-04-30,9.58,452000
2025-05-02,9.56,372000
2025-05-05,9.80,451000
2025-05-06,9.84,464000
2025-05-07,10.00,469000
2025-05-08,10.10,455000
2025-05-09,10.12,430000
2025-05-12,10.50,411000
2025-05-13,10.70,381000
2025-05-14,10.80,398000
2025-05-15,10.88,366000
2025-05-16,10.90,356000
2025-05-19,10.60,371000
2025-05-20,10.46,402000
2025-05-21,10.46,385000
2025-05-22,10.44,337000
2025-05-23,10.42,348000
2025-05-26,10.42,238000
2025-05-27,10.42,229000
2025-05-28,10.42,251000
2025-06-02,10.50,155000
2025-06-03,10.60,174000
2025-06-04,10.68,191000
2025-06-05,10.80,177000
2025-06-06,10.90,165000
2025-06-10,11.06,184000
2025-06-11,11.34,276000
2025-06-12,11.52,297000
2025-06-13,11.58,294000
2025-06-16,11.88,633000
2025-06-17,11.96,497000
2025-06-18,11.94,471000
2025-06-19,11.94,458000
2025-06-20,11.94,478000
2025-06-23,12.00,504000
2025-06-24,11.96,488000
2025-06-25,11.96,508000
2025-06-26,11.98,523000
2025-06-27,11.98,504000
2025-06-30,12.12,535000
2025-07-01,12.10,526000
2025-07-02,12.18,498000
2025-07-03,12.20,511000
2025-07-04,12.28,519000
2025-07-07,12.70,682000
2025-07-08,12.82,697000
2025-07-09,12.88,622000
2025-07-10,12.92,641000
2025-07-11,13.00,647000
2025-07-14,13.10,671000
2025-07-15,13.18,650000
2025-07-16,13.20,683000
2025-07-17,13.16,624000
2025-07-18,13.22,637000
2025-07-21,13.52,711000
2025-07-22,13.58,725000
2025-07-23,13.60,718000
2025-07-24,13.64,735000
2025-07-25,13.62,732000
2025-07-28,13.54,674000
2025-07-29,13.50,640000
2025-07-30,13.48,613000
2025-07-31,13.46,624000
2025-08-01,13.44,602000
2025-08-04,13.34,512000
2025-08-05,13.30,458000
2025-08-06,13.24,441000
2025-08-07,13.26,444000
2025-08-08,13.28,451000
2025-08-11,13.20,351000
2025-08-12,13.16,329000
2025-08-13,13.16,337000
2025-08-14,13.18,341000
2025-08-15,13.20,333000
2025-08-18,13.52,215000
2025-08-19,13.56,176000
2025-08-20,13.54,141000
2025-08-21,13.54,129000
2025-08-22,13.58,118000
2025-08-25,13.56,113000
2025-08-26,13.60,119000
2025-08-27,13.68,146000
2025-08-28,13.72,141000
2025-08-29,13.78,129000
2025-09-01,13.86,118000
2025-09-02,13.92,127000
2025-09-03,13.94,141000
2025-09-04,14.02,147000
2025-09-05,14.10,132000
2025-09-08,14.30,155000
2025-09-09,14.40,161000
2025-09-10,14.44,174000
2025-09-11,14.48,160000
2025-09-12,14.52,184000
2025-09-15,14.50,176000
2025-09-16,14.50,169000
2025-09-17,14.48,191000
2025-09-18,14.40,204000
2025-09-19,14.32,186000
2025-09-22,14.34,180000
2025-09-23,14.36,166000
2025-09-24,14.40,151000
2025-09-25,14.42,159000
2025-09-26,14.44,166000
2025-09-29,14.54,164000
2025-09-30,14.68,145000
2025-10-01,14.82,132000
2025-10-02,14.96,130000
2025-10-03,15.02,126000
2025-10-06,15.08,119000
2025-10-07,15.02,115000
2025-10-08,14.92,142000
2025-10-09,14.96,150000
2025-10-10,14.98,140000
2025-10-13,15.00,154000
2025-10-14,14.98,153000
2025-10-15,14.98,150000
2025-10-16,14.96,151000
2025-10-17,14.96,148000
2025-10-20,14.98,147000
2025-10-21,15.00,147000
2025-10-22,14.98,149000
2025-10-23,14.98,147000
2025-10-24,14.96,145000
2025-10-27,15.00,140000
2025-10-28,15.00,141000
2025-10-29,15.00,136000
2025-10-30,15.00,141000
2025-10-31,15.00,138000
2025-11-03,15.02,107000
2025-11-04,15.04,99000
2025-11-05,15.08,93000
2025-11-06,15.10,97000
2025-11-07,15.14,85000
2025-11-10,15.24,89000
2025-11-11,15.36,97000
2025-11-12,15.40,91000
2025-11-13,15.52,102000
2025-11-14,15.64,97000
2025-11-17,16.36,147000
2025-11-18,16.70,180000
2025-11-19,16.64,174000
2025-11-20,16.70,149000
2025-11-21,16.60,141000
2025-11-24,17.40,174000
2025-11-25,17.82,161000
2025-11-26,18.20,176000
