date,close_nok,volume_shares,source_quality
2024-06-20,7.70,29310,INVESTING_VALIDATED_OVERLAP
2024-06-21,7.60,170,INVESTING_VALIDATED_OVERLAP
2024-06-24,7.62,9190,INVESTING_VALIDATED_OVERLAP
2024-06-25,7.60,14350,INVESTING_VALIDATED_OVERLAP
2024-06-26,7.70,8500,INVESTING_VALIDATED_OVERLAP
2024-06-27,7.68,9810,INVESTING_VALIDATED_OVERLAP
2024-06-28,7.64,780,INVESTING_VALIDATED_OVERLAP
2024-07-01,7.62,6380,INVESTING_VALIDATED_OVERLAP
2024-07-02,7.62,2380,INVESTING_VALIDATED_OVERLAP
2024-07-03,7.60,23030,INVESTING_VALIDATED_OVERLAP
2024-07-04,7.52,6870,INVESTING_VALIDATED_OVERLAP
2024-07-05,7.50,0,INVESTING_VALIDATED_OVERLAP
2024-07-08,7.50,13510,INVESTING_VALIDATED_OVERLAP
2024-07-09,7.54,55580,INVESTING_VALIDATED_OVERLAP
2024-07-10,7.60,2020,INVESTING_VALIDATED_OVERLAP
2024-07-11,7.64,15280,INVESTING_VALIDATED_OVERLAP
2024-07-12,7.96,600,INVESTING_VALIDATED_OVERLAP
2024-07-15,7.66,129870,INVESTING_VALIDATED_OVERLAP
2024-07-16,7.64,152230,INVESTING_VALIDATED_OVERLAP
2024-07-17,7.68,68230,INVESTING_VALIDATED_OVERLAP
2024-07-18,7.62,37250,INVESTING_VALIDATED_OVERLAP
2024-07-19,7.70,165420,INVESTING_VALIDATED_OVERLAP
2024-07-22,7.84,216150,INVESTING_VALIDATED_OVERLAP
2024-07-23,7.84,50410,INVESTING_VALIDATED_OVERLAP
2024-07-24,7.86,57960,INVESTING_VALIDATED_OVERLAP
2024-07-25,7.80,34540,INVESTING_VALIDATED_OVERLAP
2024-07-26,7.86,370060,INVESTING_VALIDATED_OVERLAP
2024-07-29,7.86,76040,INVESTING_VALIDATED_OVERLAP
2024-07-30,7.86,103560,INVESTING_VALIDATED_OVERLAP
2024-07-31,7.96,52450,INVESTING_VALIDATED_OVERLAP
2024-08-02,7.82,153130,INVESTING_VALIDATED_OVERLAP
2024-08-05,7.52,175400,INVESTING_VALIDATED_OVERLAP
2024-08-06,7.60,71980,INVESTING_VALIDATED_OVERLAP
2024-08-07,7.66,64650,INVESTING_VALIDATED_OVERLAP
2024-08-08,7.66,248870,INVESTING_VALIDATED_OVERLAP
2024-08-09,7.84,1700000,INVESTING_VALIDATED_OVERLAP
2024-08-12,7.88,434740,INVESTING_VALIDATED_OVERLAP
2024-08-13,7.98,661130,INVESTING_VALIDATED_OVERLAP
2024-08-14,7.86,561320,INVESTING_VALIDATED_OVERLAP
2024-08-15,7.88,966830,INVESTING_VALIDATED_OVERLAP
2024-08-16,7.84,219310,INVESTING_VALIDATED_OVERLAP
